pmid	doi	publisher_family	followup_status	journal	title
22871227	10.1089/fpd.2012.1159	SAGE	abstract_only_with_pdf_candidate	Foodborne pathogens and disease	Characterization of extended-spectrum beta-lactamase-producing Salmonella enterica serotype Brunei and Heidelberg at the Hussein Dey hospital in Algiers (Algeria).
22888274	10.1093/jac/dks317	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Evolution of a multiple antibiotic resistance region in IncHI1 plasmids: reshaping resistance regions in situ.
22899804	10.1093/jac/dks320	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Genetic environment and location of the lnu(A) and lnu(B) genes in methicillin-resistant Staphylococcus aureus and other staphylococci of animal and human origin.
22972816	10.1128/JCM.02271-12	ASM	abstract_only_with_pdf_candidate	Journal of clinical microbiology	Molecular analysis of Acinetobacter baumannii isolates from invasive infections in 2009 in Poland.
23034714	10.1093/jac/dks383	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Emergence of OXA-48-producing Klebsiella pneumoniae and the novel carbapenemases OXA-244 and OXA-245 in Spain.
23071100	10.1093/molbev/mss236	OUP	abstract_only_with_pdf_candidate	Molecular biology and evolution	The rhizome of the multidrug-resistant Enterobacter aerogenes genome reveals how new "killer bugs" are created because of a sympatric lifestyle.
23090395	10.1107/S090744491203466X	Unclassified	abstract_only_with_pdf_candidate	Acta crystallographica. Section D, Biological crystallography	Structural insights into the broadened substrate profile of the extended-spectrum β-lactamase OXY-1-1 from Klebsiella oxytoca.
23114767	10.1128/AAC.01086-12	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Comparative genomics of IncL/M-type plasmids: evolution by acquisition of resistance genes and insertion sequences.
23221628	10.1093/jac/dks491	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	The major facilitator superfamily transporter MdtM contributes to the intrinsic resistance of Escherichia coli to quaternary ammonium compounds.
23302581	10.1093/jac/dks520	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of clonally related Escherichia coli isolates producing different CMY β-lactamases from a cystic fibrosis patient.
23330550	10.1089/mdr.2012.0063	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Treatment options for New Delhi metallo-beta-lactamase-harboring enterobacteriaceae.
23335113	10.1093/jac/dks525	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Novel mechanisms of resistance to β-lactam antibiotics in Haemophilus parainfluenzae: β-lactamase-negative ampicillin resistance and inhibitor-resistant TEM β-lactamases.
23341129	10.1093/jac/dkt004	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of a phylogenetically distinct IMP-type metallo-β-lactamase, IMP-35, in a CC235 Pseudomonas aeruginosa from the Dutch-German border region (Euregio).
23386262	10.1093/jac/dkt015	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection and new genetic environment of the pleuromutilin-lincosamide-streptogramin A resistance gene lsa(E) in methicillin-resistant Staphylococcus aureus of swine origin.
23390208	10.1093/jac/dkt031	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of tripoli metallo-β-lactamase 2 (TMB-2), a variant of blaTMB-1, in clinical isolates of Acinetobacter spp. in Japan.
23442208	10.1089/mdr.2012.0176	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Characterization of Enterococcus faecium with macrolide resistance and reduced susceptibility to quinupristin/dalfopristin in a Japanese hospital: detection of extensive diversity in erm(B)-regulator regions.
23557929	10.1093/jac/dkt088	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of NDM-7 in Germany, a new variant of the New Delhi metallo-β-lactamase with increased carbapenemase activity.
23587779	10.1093/jac/dkt027	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Molecular epidemiology of extended-spectrum β-lactamase-, AmpC β-lactamase- and carbapenemase-producing Escherichia coli and Klebsiella pneumoniae isolated from Canadian hospitals over a 5 year period: CANWARD 2007-11.
23595824	10.1093/jac/dkt127	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Identification of Tet45, a tetracycline efflux pump, from a poultry-litter-exposed soil isolate and persistence of tet(45) in the soil.
23648253		Unclassified	abstract_only_no_fulltext_candidate	Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi	[Emergence of novel variants of gyrA, parC, qnrS genes in multi-drug resistant Klebsiella caused pneumonia].
23794602	10.1093/jac/dkt250	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Characterization of a major facilitator superfamily (MFS) tripartite efflux pump EmrCABsm from Stenotrophomonas maltophilia.
23800906	10.1093/jac/dkt235	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Reversion to susceptibility of a carbapenem-resistant clinical isolate of Klebsiella pneumoniae producing KPC-3.
23812239	10.1093/infdis/jit293	OUP	abstract_only_with_pdf_candidate	The Journal of infectious diseases	Emergence of colistin-resistance in extremely drug-resistant Acinetobacter baumannii containing a novel pmrCAB operon during colistin therapy of wound infections.
23838947	10.1093/jac/dkt275	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	TEM-1 β-lactamase as a source of resistance to sulbactam in clinical strains of Acinetobacter baumannii.
23844849	10.1089/mdr.2012.0210	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Identification of plasmid-mediated quinolone resistance qnr genes in multidrug-resistant Gram-negative bacteria from hospital wastewaters and receiving waters in the Jinan area, China.
23887866	10.1093/jac/dkt302	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	In vitro selection, via serial passage, of Clostridium difficile mutants with reduced susceptibility to fidaxomicin or vancomycin.
23934739	10.1093/jac/dkt314	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of VIM-34, a novel VIM-1 variant identified in the intercontinental ST15 Klebsiella pneumoniae clone.
23934740	10.1093/jac/dkt313	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Insertion sequence IS18 mediates overexpression of blaOXA-257 in a carbapenem-resistant Acinetobacter bereziniae isolate.
23952362	10.1089/mdr.2012.0224	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Prevalence and characterization of cefotaxime and ciprofloxacin co-resistant Escherichia coli isolates in retail chicken carcasses and Ground Pork, China.
23982021	10.1097/CCM.0b013e318298a541	Unclassified	abstract_only_with_html_candidate	Critical care medicine	Eighteen years of experience with Acinetobacter baumannii in a tertiary care hospital.
23997018	10.1093/jac/dkt315	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Mutant prevention concentrations of colistin for Acinetobacter baumannii, Pseudomonas aeruginosa and Klebsiella pneumoniae clinical isolates.
24027220	10.1002/jobm.201300264	Wiley	abstract_only_with_pdf_candidate	Journal of basic microbiology	Determination of a novel integron-located variant (blaOXA -320 ) of Class D β-lactamase in Proteus mirabilis.
24041889	10.1128/AAC.02532-12	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	IMP-33, a New IMP variant detected in Pseudomonas aeruginosa from Sicily.
24093472	10.1179/1973947813Y.0000000115	Unclassified	abstract_only_with_pdf_candidate	Journal of chemotherapy (Florence, Italy)	ESBL, plasmidic AmpC, and associated quinolone resistance determinants in coliforms isolated from hospital effluent: first report of qnrB2, qnrB9, qnrB19, and blaCMY-4 in Algeria.
24165184	10.1128/AAC.01450-13	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Detection of CMY-99, a novel acquired AmpC-Type β-lactamase, and VIM-1 in Proteus mirabilis isolates in Bulgaria.
24247140	10.1128/AAC.01849-13	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Plasmid-mediated quinolone resistance genes in Enterobacteriaceae from American crows: high prevalence of bacteria with variable qnrB genes.
24267783	10.1111/1574-6968.12340	Wiley	abstract_only_with_pdf_candidate	FEMS microbiology letters	GES-5 among the β-lactamases detected in ubiquitous bacteria isolated from aquatic environment samples.
24288029	10.1093/jac/dkt480	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Multiplex PCR to detect the genes encoding naturally occurring oxacillinases in Acinetobacter spp.
24343896	10.1093/jac/dkt495	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Genetic determinants and elements associated with antibiotic resistance in viridans group streptococci.
24356301	10.1093/jac/dkt498	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	A subclass B3 metallo-β-lactamase found in Pseudomonas alcaligenes.
24379302	10.1093/jac/dkt502	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Presence and genetic environment of pleuromutilin-lincosamide-streptogramin A resistance gene lsa(E) in enterococci of human and swine origin.
24402501	10.1093/jac/dkt510	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Identification of a novel plasmid-associated spectinomycin adenyltransferase gene spd in methicillin-resistant Staphylococcus aureus ST398 isolated from animal and human sources.
24408987	10.1093/jac/dkt515	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	A single nucleotide in the promoter region modulates the expression of the β-lactamase OXA-61 in Campylobacter jejuni.
24475919	10.1089/mdr.2013.0193	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Outbreak of an armA methyltransferase-producing ST39 Klebsiella pneumoniae clone in a pediatric Algerian Hospital.
24500191	10.1093/jac/dku011	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	High diversity of plasmids harbouring blaCMY-2 among clinical Escherichia coli isolates from humans and companion animals in the upper Midwestern USA.
24569631	10.1093/jac/dku043	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection of a new mecC allotype, mecC2, in methicillin-resistant Staphylococcus saprophyticus.
24589574		Unclassified	abstract_only_no_fulltext_candidate	Medicina (Kaunas, Lithuania)	CTX-M-producing Escherichia coli in Lithuania: associations between sites of infection, coresistance, and phylogenetic groups.
24603963	10.1093/jac/dku048	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Epidemiology and carbapenem resistance mechanisms of carbapenem-non-susceptible Pseudomonas aeruginosa collected during 2009-11 in 14 European and Mediterranean countries.
24606061	10.1089/mdr.2013.0180	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Phenotypic and genotypic characterization of multidrug-resistant Bacteroides, Parabacteroides spp., and Pseudoflavonifractor from a Costa Rican hospital.
24709259	10.1128/AAC.02510-13	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Detection of OXA-370, an OXA-48-related class D β-lactamase, in Enterobacter hormaechei from Brazil.
24777897	10.1093/jac/dku133	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	IMP-45-producing multidrug-resistant Pseudomonas aeruginosa of canine origin.
24777903	10.1093/jac/dku126	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	CTX-M-137, a hybrid of CTX-M-14-like and CTX-M-15-like β-lactamases identified in an Escherichia coli clinical isolate.
24777906	10.1093/jac/dku114	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Analysis of Staphylococcus aureus clinical isolates with reduced susceptibility to ceftaroline: an epidemiological and structural perspective.
24841262	10.1128/AAC.03131-14	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Novel integron-mediated fosfomycin resistance gene fosK.
24867982	10.1128/AAC.03189-14	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Novel multiple mutations in the topoisomerase gene of Haitian variant Vibrio cholerae O1.
24920651	10.1093/jac/dku206	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Nucleotide sequences of 16 transmissible plasmids identified in nine multidrug-resistant Escherichia coli isolates expressing an ESBL phenotype isolated from food-producing animals and healthy humans.
24994873	10.1093/jac/dku238	OUP	abstract_only_with_html_candidate	The Journal of antimicrobial chemotherapy	Development of colistin resistance in pmrA-, phoP-, parR- and cprR-inactivated mutants of Pseudomonas aeruginosa.
25150146	10.1093/jac/dku320	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Polymorphism of genes encoding PmrAB in colistin-resistant strains of Escherichia coli and Salmonella enterica isolated from poultry and swine.
25193085	10.1093/jac/dku340	OUP	abstract_only_with_html_candidate	The Journal of antimicrobial chemotherapy	Differential contribution of AcrAB and OqxAB efflux pumps to multidrug resistance and virulence in Klebsiella pneumoniae.
25241690		Unclassified	abstract_only_no_fulltext_candidate	Japanese journal of infectious diseases	Identification of a novel metallo-β-lactamase VIM-28 located within unusual arrangement of class 1 integron structure in Pseudomonas aeruginosa isolates from Egypt.
25315365	10.1093/jac/dku407	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	The complete sequence of Salmonella genomic island SGI2.
25334088	10.1021/bi500623c	ACS	abstract_only_with_pdf_candidate	Biochemistry	A reaction path study of the catalysis and inhibition of the Bacillus anthracis CapD γ-glutamyl transpeptidase.
25372683	10.1107/S1399004714019543	Unclassified	abstract_only_with_pdf_candidate	Acta crystallographica. Section D, Biological crystallography	Structure of ADC-68, a novel carbapenem-hydrolyzing class C extended-spectrum β-lactamase isolated from Acinetobacter baumannii.
25414200	10.1093/jac/dku450	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Development and evaluation of a novel universal β-lactamase gene subtyping assay for blaSHV, blaTEM and blaCTX-M using clinical and livestock-associated Escherichia coli.
25441705	10.1111/lam.12366	Wiley	abstract_only_with_pdf_candidate	Letters in applied microbiology	Characterization of fosA5, a new plasmid-mediated fosfomycin resistance gene in Escherichia coli.
25512409	10.1128/AAC.03895-14	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Detection of QnrB54 and its novel genetic context in Citrobacter freundii isolated from a clinical case.
25545311	10.1089/mdr.2014.0205	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Complete Sequence of Four Multidrug-Resistant MOBQ1 Plasmids Harboring blaGES-5 Isolated from Escherichia coli and Serratia marcescens Persisting in a Hospital in Canada.
25547359	10.1128/AAC.05062-14	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Characterization of a novel metallo-β-lactamase variant, GIM-2, from a clinical isolate of Enterobacter cloacae in Germany.
25576529	10.1093/jac/dku537	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	New plasmid-mediated aminoglycoside 6'-N-acetyltransferase, AAC(6')-Ian, and ESBL, TLA-3, from a Serratia marcescens clinical isolate.
25634992	10.1093/jac/dku568	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Characterization of Escherichia coli NDM isolates with decreased susceptibility to aztreonam/avibactam: role of a novel insertion in PBP3.
25759034	10.1093/jac/dkv055	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Survey of metallo-β-lactamase-producing Enterobacteriaceae colonizing patients in European ICUs and rehabilitation units, 2008-11.
25765542	10.1111/lam.12414	Wiley	abstract_only_with_pdf_candidate	Letters in applied microbiology	Novel macrolide-resistance genes, mef(C) and mph(G), carried by plasmids from Vibrio and Photobacterium isolated from sediment and seawater of a coastal aquaculture site.
25835992	10.1093/jac/dkv079	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Description of IMP-31, a novel metallo-β-lactamase found in an ST235 Pseudomonas aeruginosa strain in Western Germany.
25977397	10.1093/jac/dkv116	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	A novel gene, optrA, that confers transferable resistance to oxazolidinones and phenicols and its presence in Enterococcus faecalis and Enterococcus faecium of human and animal origin.
26125919	10.4238/2015.June.29.2	Unclassified	abstract_only_with_pdf_candidate	Genetics and molecular research : GMR	A novel variant of the β-lactamase ADC-61 gene in multi-drug resistant Acinetobacter baumannii.
26126492	10.1093/jac/dkv181	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	OXA-372, a novel carbapenem-hydrolysing class D β-lactamase from a Citrobacter freundii isolated from a hospital wastewater plant.
26377866	10.1093/jac/dkv279	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Novel transferable erm(46) determinant responsible for emerging macrolide resistance in Rhodococcus equi.
26392485	10.1128/AAC.01235-15	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	First Report of the IncI1/ST898 Conjugative Plasmid Carrying rmtE2 16S rRNA Methyltransferase Gene in Escherichia coli.
26410172	10.1093/jac/dkv304	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Newborn bacteraemia caused by an Aeromonas caviae producing the VIM-1 and SHV-12 β-lactamases, encoded by a transferable plasmid.
26683630	10.1089/mdr.2015.0158	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Quinolone Resistance Mechanisms Among Salmonella enterica in Malaysia.
26702919	10.1093/jac/dkv438	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Detection in Italy of two clinical Enterococcus faecium isolates carrying both the oxazolidinone and phenicol resistance gene optrA and a silent multiresistance gene cfr.
26777914	10.3967/bes2015.128	Unclassified	abstract_only_with_html_candidate	Biomedical and environmental sciences : BES	Seafood as a Reservoir of Gram-negative Bacteria Carrying Integrons and Antimicrobial Resistance Genes in Japan.
26903276	10.1093/jac/dkw016	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Genetic environment of the transferable oxazolidinone/phenicol resistance gene optrA in Enterococcus faecalis isolates of human and animal origin.
26953332	10.1093/jac/dkw040	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Co-location of the oxazolidinone resistance genes optrA and cfr on a multiresistance plasmid from Staphylococcus sciuri.
27073268	10.1093/jac/dkw108	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Linezolid-resistant cfr-positive MRSA, Italy.
27175500	10.5578/mb.24126	Unclassified	abstract_only_with_pdf_candidate	Mikrobiyoloji bulteni	[Investigation of fluoroquinolone resistance mechanisms in clinical Acinetobacter baumannii isolates].
27494920	10.1093/jac/dkw290	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Novel chromosome-encoded erm(47) determinant responsible for constitutive MLSB resistance in Helcococcus kunzii.
27559761	10.1089/mdr.2016.0024	SAGE	abstract_only_with_pdf_candidate	Microbial drug resistance (Larchmont, N.Y.)	Prevalence of gyrA Mutations in Nalidixic Acid-Resistant Strains of Salmonella Enteritidis Isolated from Humans, Food, Chickens, and the Farm Environment in Brazil.
27650185	10.1093/jac/dkw382	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Fosfomycin resistance in Acinetobacter baumannii is mediated by efflux through a major facilitator superfamily (MFS) transporter-AbaF.
27786586	10.3109/1040841X.2015.1136261	Unclassified	abstract_only_with_pdf_candidate	Critical reviews in microbiology	Macrolide resistance mechanisms in Enterobacteriaceae: Focus on azithromycin.
28039271	10.1093/jac/dkw549	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Novel lnu(G) gene conferring resistance to lincomycin by nucleotidylation, located on Tn6260 from Enterococcus faecalis E531.
28065891	10.1093/jac/dkw554	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Genetic and biochemical characterization of HMB-1, a novel subclass B1 metallo-β-lactamase found in a Pseudomonas aeruginosa clinical isolate.
28186558	10.1093/jac/dkx023	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Emergence of a plasmid-borne multidrug resistance gene cfr(C) in foodborne pathogen Campylobacter.
28276133	10.1111/1462-2920.13722	Wiley	abstract_only_with_pdf_candidate	Environmental microbiology	Plasmid-mediated resistance to cephalosporins and quinolones in Escherichia coli from American crows in the USA.
28605515	10.1093/jac/dkx173	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	FRI-2 carbapenemase-producing Enterobacter cloacae complex in the UK.
28637339	10.1093/jac/dkx179	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Emergence of ceftazidime/avibactam non-susceptibility in an MDR Klebsiella pneumoniae isolate.
28859446	10.1093/jac/dkx184	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	OXA-427, a new plasmid-borne carbapenem-hydrolysing class D β-lactamase in Enterobacteriaceae.
28911188	10.1093/femsle/fnx178	OUP	abstract_only_with_pdf_candidate	FEMS microbiology letters	Diversity of Ochrobactrum species in food animals, antibiotic resistance phenotypes and polymorphisms in the blaOCH gene.
28962028	10.1093/jac/dkx327	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Identification of a novel transposon-associated phosphoethanolamine transferase gene, mcr-5, conferring colistin resistance in d-tartrate fermenting Salmonella enterica subsp. enterica serovar Paratyphi B.
29091182	10.1093/jac/dkx201	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Quinolone-resistant gyrase mutants demonstrate decreased susceptibility to triclosan.
29091223	10.1093/jac/dkx226	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Identification of a novel qnrA allele, qnrA8, in environmental Shewanella algae.
29149337	10.1093/jac/dkx424	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Mechanisms leading to in vivo ceftolozane/tazobactam resistance development during the treatment of infections caused by MDR Pseudomonas aeruginosa.
29203482	10.1128/AAC.02106-17	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Presence of an mcr-3 Variant in Aeromonas caviae, Proteus mirabilis, and Escherichia coli from One Domestic Duck.
29237785	10.1128/JCM.01562-17	ASM	abstract_only_with_pdf_candidate	Journal of clinical microbiology	mcr-3 and mcr-4 Variants in Carbapenemase-Producing Clinical Enterobacteriaceae Do Not Confer Phenotypic Polymyxin Resistance.
29394337	10.1093/cid/ciy069	OUP	abstract_only_with_pdf_candidate	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	Raising the Stakes: Loss of Efflux Pump Regulation Decreases Meropenem Susceptibility in Burkholderia pseudomallei.
29394397	10.1093/jac/dkx538	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Identification of novel variants of the colistin resistance gene mcr-3 in Aeromonas spp. from the national resistance monitoring programme GERM-Vet and from diagnostic submissions.
29444245	10.1093/jac/dky020	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	mcr-5 and a novel mcr-5.2 variant in Escherichia coli isolates from food and food-producing animals, Germany, 2010 to 2017.
29635422	10.1093/jac/dky088	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Characterization of poxtA, a novel phenicol-oxazolidinone-tetracycline resistance gene from an MRSA of clinical origin.
29912417	10.1093/jac/dky111	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Novel plasmid-mediated colistin resistance gene mcr-7.1 in Klebsiella pneumoniae.
30053008	10.1093/jac/dky272	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	mcr-1 and mcr-2 (mcr-6.1) variant genes identified in Moraxella species isolated from pigs in Great Britain from 2014 to 2015.
30060114	10.1093/jac/dky291	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	FRI-4 carbapenemase-producing Enterobacter cloacae complex isolated in Tokyo, Japan.
30189050	10.1093/jac/dky364	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Deciphering β-lactamase-independent β-lactam resistance evolution trajectories in Pseudomonas aeruginosa.
30247543	10.1093/jac/dky359	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Five novel carbapenem-hydrolysing OXA-type β-lactamase groups are intrinsic in Acinetobacter spp.
30247587	10.1093/jac/dky375	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Characterization of a clinical Clostridioides difficile isolate with markedly reduced fidaxomicin susceptibility and a V1143D mutation in rpoB.
30561662	10.1093/jac/dky515	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Plasmid-located extended-spectrum β-lactamase gene blaROB-2 in Mannheimia haemolytica.
30753572	10.1093/jac/dkz026	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Ceftazidime/avibactam resistance associated with L169P mutation in the omega loop of KPC-2.
30788955	10.1021/acsinfecdis.8b00240	ACS	abstract_only_with_pdf_candidate	ACS infectious diseases	Genetic, Biochemical, and Structural Characterization of CMY-136 β-Lactamase, a Peculiar CMY-2 Variant.
30789204	10.1093/jac/dkz066	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Identification of a novel metallo-β-lactamase, CAM-1, in clinical Pseudomonas aeruginosa isolates from Canada.
30844059	10.1093/jac/dkz080	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Identification of the novel class D β-lactamase OXA-679 involved in carbapenem resistance in Acinetobacter calcoaceticus.
30863844	10.1093/jac/dkz092	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	LRE-Finder, a Web tool for detection of the 23S rRNA mutations and the optrA, cfr, cfr(B) and poxtA genes encoding linezolid resistance in enterococci from whole-genome sequences.
30863849	10.1093/jac/dkz090	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Colistin resistance in Parisian inpatient faecal Escherichia coli as the result of two distinct evolutionary pathways.
30989199	10.1093/jac/dkz148	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Novel trimethoprim resistance gene, dfrA35, in IncC plasmids from Australia.
31040249	10.1136/sextrans-2019-053986	Unclassified	abstract_only_with_pdf_candidate	Sexually transmitted infections	Just Google it! Impact of media coverage of an outbreak of high-level azithromycin-resistant Neisseria gonorrhoeae on online searches, and attendances, testing and diagnoses at sexual health clinics in England between 2015 and 2016: an interrupted time series analysis using surveillance data.
31127297	10.1093/jac/dkz209	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Unravelling ceftazidime/avibactam resistance of KPC-28, a KPC-2 variant lacking carbapenemase activity.
31355848	10.1093/jac/dkz297	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Pseudomonas aeruginosa populations in the cystic fibrosis lung lose susceptibility to newly applied β-lactams within 3 days.
31633764	10.1093/jac/dkz434	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Mutations that increase expression of the EmrAB-TolC efflux pump confer increased resistance to nitroxoline in Escherichia coli.
31685471	10.1128/AAC.02112-19	ASM	abstract_only_with_pdf_candidate	Antimicrobial agents and chemotherapy	Emergence of Resistance to Novel β-Lactam-β-Lactamase Inhibitor Combinations Due to Horizontally Acquired AmpC (FOX-4) in Pseudomonas aeruginosa Sequence Type 308.
31725164	10.1093/jac/dkz438	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	Enterobacter sp. N18-03635 harbouring blaFRI-6 class A carbapenemase, Canada.
31730160	10.1093/jac/dkz376	OUP	abstract_only_with_pdf_candidate	The Journal of antimicrobial chemotherapy	In vitro antimicrobial combination testing of and evolution of resistance to the first-in-class spiropyrimidinetrione zoliflodacin combined with six therapeutically relevant antimicrobials for Neisseria gonorrhoeae.
